Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Village of Fairhaven,14523 Cayuga St,,Fair Haven,NY,13064,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,43.319784,-76.698227,8/8/23,94838,8/8/23 1:07,,,,9/29/17,J1772
ELEC,The Wick Hotel - Tesla Destination,41 Cross St,,Hudson,NY,12534,,833-843-9425  877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,42.253092,-73.795964,10/6/22,114956,1/18/23 15:15,P,,,12/8/17,J1772 TESLA
ELEC,Faust Motel - Tesla Destination,151 Main St,,Tupper Lake,NY,12986,,518-420-8461  877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,44.243764,-74.48741,10/6/22,115244,1/18/23 15:15,P,,,12/4/17,J1772 TESLA
ELEC,LIVEWELL GROUP 708 CATLYN CT,708 Catlyn Ct,,Delmar,NY,12054,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.606503,-73.848,8/8/23,165392,8/8/23 0:30,,,,8/22/20,J1772
ELEC,NYC FLEET DPRMBLOT8_1_L3,920 Father Capodanno Blvd,,Midland Beach,NY,10305,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.572636,-74.08614,8/8/23,182295,8/8/23 0:32,,,,1/27/21,CHADEMO J1772COMBO
ELEC,Courier's Lot,2157 Main St Buffalo,,Buffalo,NY,14214,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,42.928965,-78.847627,8/8/23,202629,8/8/23 1:08,,,,12/13/21,J1772
ELEC,MOHAWK CHEVY MOHAWKCHEVY3,639 67,,Malta,NY,12020,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.968958,-73.811079,8/8/23,217437,8/8/23 0:45,,,,5/13/22,J1772
ELEC,Carman's Plaza - Tesla Supercharger,941 Carmans Road,,Massapequa,NY,11758,,877-798-3752,E,,Public,24 hours daily,A D Debit M V,,,8,,Tesla,https://www.tesla.com/supercharger,GPS,40.701995,-73.432692,7/1/23,196257,7/14/23 19:41,P,,,9/20/21,TESLA
ELEC,Queens Center - Tesla Supercharger,90-15 Queens Boulevard,,Queens,NY,11373,,877-798-3752,E,,Public,24 hours daily,,,,10,,Tesla,https://www.tesla.com/supercharger,GPS,40.735082,-73.87067,7/1/23,116809,7/14/23 19:41,P,,,12/1/18,TESLA
ELEC,The American Hotel-Sag Harbor - Tesla Destination,45 Main St,,Sag Harbor,NY,11963,,631-725-3535  877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.001188,-72.294667,10/6/22,150489,1/18/23 15:15,P,,,8/28/19,TESLA
ELEC,Nissan of Westbury,939 Old Country Rd,,Westbury,NY,11590,,516-338-5600,E,,Public - Call ahead,Dealership business hours,,,1,1,,Non-Networked,,200-8,40.753954,-73.561974,6/9/20,44212,2/15/23 22:45,P,,,11/30/11,CHADEMO J1772
ELEC,SKICENTER EVSE1,1562 Osceola Rd,,Camden,NY,13316,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.50487,-75.70037,8/8/23,197865,8/8/23 0:40,,,,10/17/21,J1772
ELEC,Greater Hudson Valley Health System,68 Harris-Bushville Rd,,Harris,NY,12742,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,41.709387,-74.737273,8/8/23,230816,8/8/23 1:07,,,,9/30/22,J1772
ELEC,Central Parking - 146 W 57th St,146 West 57th Street,Underground Parking||,New York,NY,10019,,888-998-2546,E,,Public,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.764609,-73.979517,6/21/23,164738,6/21/23 0:01,,,,8/1/20,J1772
ELEC,MUNICIPAL EVSE PARK STREET 2,50-54 Park St,,Glens Falls,NY,12801,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.307855,-73.644584,8/8/23,180142,8/8/23 0:10,,,,1/27/21,J1772
ELEC,Gunlocke Company LLC,One Gunlocke Drive,,Wayland,NY,14572,,866-816-7584,E,,Public,,,,4,,,EV Connect,http://evconnect.com/,GPS,42.555384,-77.589129,8/8/23,155031,8/8/23 1:07,,,,8/9/18,J1772
ELEC,Maguire Honda of Ithaca,315 Elmira Rd,,Ithaca,NY,14850,,607-273-1926,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,1,,,Non-Networked,,GPS,42.426395,-76.509167,9/14/22,226521,2/14/23 15:54,P,,,8/25/22,J1772
ELEC,Rotterdam Branch Library,1110 North Westcott Rd,,Schenectady,NY,12306,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,4,,,LIVINGSTON,https://www.solution.energy,GPS,42.78721,-73.97983,7/12/22,223253,2/14/23 15:54,LG,,,3/1/22,J1772
