City,Name,Address
Manhattan,West Market,693 10th Ave
Manhattan,Whole Foods Market,226 E 57th St
Manhattan,gastro market,55TH St And Broadway
Manhattan,Morton Williams,908 Second Avenue
Manhattan,Fairway Market,2131 Broadway
Manhattan,Chelsea Food Mart,194 8th Ave
Manhattan,Trader Joe's,675 6th Ave
Manhattan,Trader Joe's,405 E 59th St
Manhattan,Gastro Market,1745 Broadway
Manhattan,Wegmans,21 Flushing Ave
Manhattan,Morton Williams,140 West 57th Street
Manhattan,Marketeria,1185 1st Ave
Manhattan,The Food Emporium,810 8th Ave
Manhattan,H Mart,38 W 32nd St
Manhattan,International Grocery,543 9th Ave
Manhattan,Westside Market NYC,170 W 23rd St
Manhattan,Katagiri Japanese Grocery Store,224 E 59th St
Manhattan,Morton Williams,1031 1st Ave 56th St
Manhattan,Morton Williams,1066 3rd Ave
Manhattan,Westside Market NYC,77 7th Ave
Manhattan,Grand Central Market,105 E 42nd St
Manhattan,Trader Joe's,200 E 32nd St
Manhattan,Trader Joe's,2073 Broadway
Manhattan,Whole Foods Market,63 Madison Ave
Manhattan,Westside Market NYC,84 3rd Ave
Manhattan,Whole Foods Market,1095 6th Ave
Manhattan,Whole Foods Market,10 Columbus Cir
Manhattan,D'Agostino,578 3rd Ave
Manhattan,Sunrise Mart,12 E 41st St
Manhattan,Morton Williams,278 Park Avenue South
Manhattan,Fairway Market,550 2nd Ave
Manhattan,Morton Williams,311 East 23rd Street
Manhattan,Dainobu,36 W 56th St
Manhattan,Whole Foods Market,450 W 33rd St
Manhattan,Gristede's,1208 1st Ave
Manhattan,Westside Market NYC,180 3rd Ave
Manhattan,Mazzella's Market,694 9th Ave
Manhattan,Whole Foods Market,250 7th Ave
Manhattan,Gristede's Sloan's Supermarkets,210 Amsterdam Ave
Manhattan,Hudson Market,601 W 57th St
Manhattan,Amish Market West,731 9th Ave
Manhattan,Katagiri Japanese Grocery,370 Lexington Ave
Manhattan,ALDI,517 E 117th St
Manhattan,Hong Kong Supermarket,157 Hester St
Manhattan,Hudson Market Place,755 9th Ave
Manhattan,D'agostino Supermarkets,966 1st Ave
Manhattan,H Mart,39 3rd Ave
Manhattan,Food Bazaar Supermarket,42-02 Northern Blvd
Manhattan,Westerly Natural Market,911 8th Ave
Manhattan,Urban Market,50-01 2nd St
Manhattan,The Amish Market,240 E 45th St
Manhattan,Key Food Supermarket,52 Ave A
Manhattan,TSQ Food Court,163 W 48th St
Manhattan,Morton Williams,15 W End Ave
Manhattan,City Acres Market,29-18 Queens Plz S
Manhattan,Butterfield Market,1150 Madison Ave
Manhattan,Mogmog,5-35 51st Ave
Manhattan,Zingone Brothers,471 Columbus Ave
Manhattan,Lil' Frankie's Grocery,21 First Ave
Manhattan,Duane Reade,100 W 57th St
Manhattan,Eataly NYC Flatiron,200 5th Ave
Manhattan,Jack's 99cent Store,110 W 32nd St
Manhattan,Gentile's Foods & Market,1118 Madison Ave
Manhattan,Morton Williams,1251 3rd Ave
Manhattan,Gristedes,748 2nd Ave & 40th St
Manhattan,Duals Natural,91 1st Ave
Manhattan,Westside Market NYC,2589 Broadway
Manhattan,Fairway Market,766 Sixth Avenue
Manhattan,37th St Deli Food Market,480 10th Ave
Manhattan,Dainobu,498 6th Ave
Manhattan,Mulberry Market,251 Mulberry St
Manhattan,Shinbashi 72,218 W 72nd St
Manhattan,Bryant Market,1017 6th Ave
Manhattan,Ernest Klein and Co's Gourmet Food Company,1366 6th Ave
Manhattan,Tan Tin-Hung Supermarket,121 Bowery
Manhattan,Jacks,223 W 40th St
Manhattan,Food Emporium,452 W 43rd St
Manhattan,Gourmet Garage,585 Hudson St
Manhattan,Stiles Farmers Market,476 9th Ave
Manhattan,Grace's Marketplace,1299 2nd Ave
Manhattan,Brooklyn Fare,431 W 37th St
Manhattan,4th Street Food Co-op,58 E 4th St
Manhattan,7-Eleven,866 6th Ave
Manhattan,Gristede's,907 8th Ave
Manhattan,D'Agostino,341 3rd Ave
Manhattan,SecaucusWalmart Supercenter,400 Park Pl
Manhattan,Citarella Gourmet Market - Upper East Side,1313 3rd Ave
Manhattan,"A Matter of Health, Inc",1347 First Ave
Manhattan,Deluxe Food Market,79 Elizabeth St
Manhattan,Gracefully,320 1st Ave
Manhattan,Pearl River Mart Foods,75 9th Ave
Manhattan,Raffetto's,144 W Houston St
Manhattan,809 Lexington Grocery Store,809 Lexington Ave
Manhattan,Daona Marketplace,1359 1st Ave
Manhattan,Brooklyn Fare,75 W End Ave
Manhattan,Kalustyan's,123 Lexington Ave
Manhattan,The Long Hall Pub & Grocery,58 E 34th St
Manhattan,Gourmet Garage,155 W 66th St
Manhattan,East Village Organic,124 First Ave
Manhattan,Dollar General,3527 31St St
Manhattan,Dainobu,129 E 47th St
Manhattan,East Side Grocery,1422 2nd Ave
Manhattan,Citarella Gourmet Market - Upper West Side,2135 Broadway
Manhattan,CVS pharmacy,241 West 57th St
Manhattan,Greenpoint Natural Market,1021 Manhattan Ave
Manhattan,Udder Milk,
Manhattan,Big Apple Meat Market,577 9th Ave
