City,Name,Address
Manhattan,The Skylark,200 W 39th St
Manhattan,The Living Room,153 West 57th St
Manhattan,Raines Law Room,48 W 17th St
Manhattan,Valerie,45 W 45th St between 5th & 6th Ave
Manhattan,On The Rocks,696 10th Ave
Manhattan,Nothing Really Matters,1627 Broadway
Manhattan,The Press Lounge,653 11th Ave
Manhattan,Osamil Upstairs,5 W 31st St
Manhattan,Thyme Bar,20 W 23rd St Cellar
Manhattan,The Gold Room,455 Madison Ave
Manhattan,On Now Lounge,431 7th Ave
Manhattan,Ophelia,3 Mitchell Pl
Manhattan,Chez Zou,385 Ninth Ave
Manhattan,The Ragtrader & Bo Peep Cocktail and Highball Store,70 W 36th St
Manhattan,The Living Room,W New York - Times Square
Manhattan,Swingers Crazy Golf - NoMad,35 W 29th St
Manhattan,Chapel Bar,275 Park Ave S
Manhattan,The Top of the Standard,848 Washington St
Manhattan,Katherine,41 W 35th St
Manhattan,Arthouse Bar,2178 Bdwy W 77th St
Manhattan,Patent Pending,49 W 27th St
Manhattan,Rarities,455 Madison Ave
Manhattan,Rose Lane,36 Central Park S
Manhattan,Tomi Jazz,239 E 53rd St
Manhattan,The Wallace Lounge,242 W 76th St
Manhattan,The Bar Room,117 E 60th St
Manhattan,Melody's Piano Bar,1020 Lexington Ave
Manhattan,Castell Rooftop Lounge,260 W 40th St
Manhattan,The Tippler,425 W 15th St
Manhattan,Life Rooftop,120 W 57th St
Manhattan,Please Don't Tell,113 St Marks Pl
Manhattan,48 Lounge,1221 Ave Of The Americas
Manhattan,MO Lounge,80 Columbus Cir
Manhattan,Upstairs at the Kimberly,145 E 50th St
Manhattan,Bemelmans Bar,35 E 76th St
Manhattan,Cello Wine & Cocktail Bistro,226 E 53rd St
Manhattan,Undercote,16 W 22nd St
Manhattan,Spare Lounge Bar & Social,550 9th Ave
Manhattan,The Flatiron Room - NoMad,37 W 26th St
Manhattan,Roof At 66 Park,66 Park Ave E 38th St
Manhattan,Ampersand,294 3rd Ave
Manhattan,Jungle Bird,174 8th Ave
Manhattan,Refinery Rooftop,63 W 38th St
Manhattan,The Ruby - Bar & Lounge,59 Grand St
Manhattan,The Rum House,228 W 47th St
Manhattan,Dear Irving,55 Irving Pl
Manhattan,The Up & Up,116 MacDougal St
Manhattan,Vanguard Wine Bar,189 Amsterdam Ave
Manhattan,Rooftop 93,93 Bowery
Manhattan,The Maze,32 W 32nd St
Manhattan,Bar Seine,37 E 64th St
Manhattan,Dear Irving on Hudson,310 W 40th St
Manhattan,The Friki Tiki,357 W 44th St
Manhattan,Ascent Lounge,10 Columbus Cir
Manhattan,Lillie's Victorian Establishment,249 W 49th St
Manhattan,Bar Cima,30 W 39th St
Manhattan,Raines Law Room at the William,24 E 39th St
Manhattan,Death & Co,433 E 6th St
Manhattan,Somewhere Nowhere NYC,112 W 25th St
Manhattan,2nd Floor Bar & Essen,1442 1st Ave
Manhattan,MS. KIM'S Lounge & Private Karaoke,6 West 28th St
Manhattan,Tanner Smiths,204 W 55th St
Manhattan,Record Room,4709 Center Blvd
Manhattan,Rosevale Cocktail Room,305 W 48th St
Manhattan,Lotus Lounge,1800 White Plains Rd
Manhattan,The Mark Hotel Bar,25 E 77th
Manhattan,The Flatiron Room - Murray Hill,9 E 37th St
Manhattan,5th & Mad,7 E 36th St
Manhattan,Bathtub Gin,132 9th Ave
Manhattan,Dutch Freds,307 W 47th St
Manhattan,Le Chalet,8 E 50th St
Manhattan,Temple Bar,332 Lafayette St
Manhattan,Two E Bar/Lounge,2 E 61st St
Manhattan,K32 Rooftop Bar,17 W 32nd St
Manhattan,The Belfry,222 E 14th St
Manhattan,Starchild Rooftop,305 W 48th St
Manhattan,The Upstairs at 66,46 Stone St
Manhattan,Vida Verde,248 W 55th St
Manhattan,Sofia Wine Bar,242 E 50th St
Manhattan,Bar SixtyFive,30 Rockefeller Plz
Manhattan,Bodega 88,573 Columbus Ave
Manhattan,The Campbell,15 Vanderbilt Ave
Manhattan,Saint Tuesday,24 Cortlandt Aly
Manhattan,Slate NY,54 W 21st St
Manhattan,The Dead Poet,450 Amsterdam Ave
Manhattan,Ye's Apothecary,119 Orchard St
Manhattan,Bea,403 W 43rd St
Manhattan,Helen's,22 1/2 Ninth Ave
Manhattan,The Parlour Room,70 W 36th St
Manhattan,Up on 20 Rooftop Bar and Lounge,30-32 W 31st St
Manhattan,The Penrose,1590 2nd Ave
Manhattan,Oscar Wilde,45 W 27th St
Manhattan,The Lookup,45 W 35th St
Manhattan,Plan B,34 W 32nd St
Manhattan,S Bar New York,398 10th Ave
Manhattan,PS,300 Spring St
Manhattan,Do Not Disturb,285 W 12th St
Manhattan,Club Macanudo,26 E 63rd St
Manhattan,Madame X,94 W Houston St
Manhattan,Monarch Rooftop,71 W 35th St
Manhattan,The Drunken Munkey - UES,338 E 92nd St
Manhattan,Cibar,56 Irving Pl
Manhattan,Juniper Bar,237 W 35th St
Manhattan,Draught 55,245 E 55th St
